N	Milliseconds	Years		Estimated (Years)
13	0.998			3.16254E-11	7.89816E-12
15	1.4			4.43642E-11	3.02904E-11
16	1.009			3.19739E-11	5.9319E-11
17	1.002			3.17521E-11	1.16167E-10
18	6.078			1.92604E-10	2.27495E-10
19	3.042			9.63971E-11	4.45515E-10
20	19.649		6.22652E-10	8.72472E-10
21	134.652		4.26695E-09	1.7086E-09
22	171.472		5.43373E-09	3.34603E-09
23	179.963		5.7028E-09	6.55269E-09
24	249.002		7.89056E-09	1.28324E-08
25	756.048		2.39582E-08	2.51303E-08
26	3725.135		1.18045E-07	4.92138E-08
27	5050.425		1.60042E-07	9.63777E-08
28	8009.441		2.53809E-07	1.88741E-07
29	551.531		1.74773E-08	3.6962E-07
30	57144.83		1.81085E-06	7.23843E-07
31	117532.652		3.72446E-06	1.41754E-06
32	277897.7		8.80623E-06	2.77602E-06
33	18157.436		5.75386E-07	5.43641E-06
34	738112.05		2.33898E-05	1.06464E-05
1024	x			x		9.9456E+283
2048	x			x		#¡NUM!
